store_id,S001,S002,S003,S004,S005,S006,S007,S008,S009,S010,S011,S012,S013,S014,S015,S016,S017,S018,S019,S020
S001,0.0,9.883,15.972,16.72,8.142,12.974,9.156,782.322,774.408,770.179,765.434,775.165,1499.811,1504.278,1511.321,1494.59,1497.317,1496.313,1497.15,1501.099
S002,10.228,0.0,10.669,12.052,5.117,7.721,7.005,780.756,772.842,768.613,763.868,773.599,1498.245,1502.712,1509.756,1493.024,1495.751,1494.747,1495.584,1499.533
S003,16.636,10.589,0.0,6.648,9.137,3.274,8.296,778.512,770.598,766.37,761.625,771.356,1496.002,1500.468,1507.512,1490.78,1493.507,1492.504,1493.341,1497.29
S004,16.491,11.692,8.21,0.0,7.138,9.092,5.145,775.213,767.299,763.07,758.325,768.056,1492.702,1497.169,1504.212,1487.48,1490.208,1489.204,1490.042,1493.99
S005,8.321,5.287,9.038,7.483,0.0,6.04,2.437,776.188,768.274,764.045,759.3,769.031,1493.677,1498.144,1505.187,1488.455,1491.182,1490.179,1491.016,1494.965
S006,13.745,7.839,3.104,8.097,6.246,0.0,5.677,779.962,772.048,767.819,763.074,772.805,1497.451,1501.918,1508.962,1492.23,1494.957,1493.953,1494.79,1498.739
S007,10.856,7.91,8.261,5.279,3.356,6.004,0.0,775.22,767.306,763.077,758.332,768.063,1492.709,1497.176,1504.219,1487.487,1490.215,1489.211,1490.048,1493.997
S008,785.705,784.845,783.347,778.228,780.292,782.88,778.038,0.0,8.684,13.7,17.544,6.605,859.316,863.783,870.827,854.095,856.822,855.818,856.656,860.604
S009,777.97,777.11,775.611,770.492,772.556,775.144,770.303,8.645,0.0,5.06,9.808,5.409,858.12,862.587,869.631,852.899,855.626,854.622,855.46,859.408
S010,773.593,772.734,771.235,766.116,768.18,770.768,765.927,14.196,4.744,0.0,5.432,7.039,859.128,863.594,870.638,853.906,856.633,855.63,856.467,860.415
S011,768.574,767.714,766.216,761.097,763.161,765.749,760.907,18.168,10.253,6.025,0.0,11.011,863.1,867.566,874.61,857.878,860.605,859.601,860.439,864.387
S012,779.143,778.284,776.785,771.666,773.73,776.318,771.476,6.584,5.552,7.139,10.982,0.0,852.755,857.222,864.265,847.533,850.26,849.257,850.094,854.043
S013,1499.365,1498.505,1497.007,1491.888,1493.952,1496.54,1491.698,858.427,857.395,858.216,862.06,851.921,0.0,20.475,17.606,16.111,4.751,14.197,9.029,10.659
S014,1503.805,1502.946,1501.447,1496.328,1498.392,1500.98,1496.138,862.868,861.836,862.657,866.5,856.362,18.739,0.0,17.668,15.153,18.025,9.891,14.147,9.614
S015,1510.46,1509.6,1508.102,1502.983,1505.047,1507.635,1502.793,869.523,868.491,869.311,873.155,863.016,18.087,17.256,0.0,19.773,17.641,16.546,16.032,11.624
S016,1488.746,1487.887,1486.388,1481.269,1483.333,1485.921,1481.08,847.809,846.777,847.598,851.441,841.303,14.733,14.593,20.156,0.0,10.196,7.019,7.814,8.314
S017,1496.843,1495.984,1494.485,1489.366,1491.43,1494.018,1489.177,855.906,854.874,855.695,859.538,849.4,4.75,17.543,16.636,10.344,0.0,11.265,3.875,8.0
S018,1497.582,1496.722,1495.224,1490.105,1492.169,1494.757,1489.915,856.645,855.612,856.433,860.277,850.138,14.83,7.983,15.027,7.634,11.344,0.0,7.466,4.804
S019,1496.662,1495.803,1494.304,1489.185,1491.249,1493.837,1488.996,855.725,854.693,855.514,859.357,849.219,8.414,13.668,15.882,8.968,3.878,7.391,0.0,4.125
S020,1500.683,1499.823,1498.325,1493.206,1495.27,1497.858,1493.016,859.746,858.714,859.534,863.378,853.239,10.667,10.672,11.757,7.971,8.085,6.769,4.207,0.0
