store_id,S001,S002,S003,S004,S005,S006,S007,S008,S009,S010,S011,S012,S013,S014,S015,S016,S017,S018,S019,S020
S001,0.0,29.16,14.99,24.29,13.0,20.41,26.72,609.24,611.55,615.62,613.75,614.49,1128.16,1124.9,1127.32,1127.58,1120.12,1127.49,1124.98,1140.57
S002,29.63,0.0,16.42,22.48,32.8,30.36,36.6,629.26,631.57,635.64,633.77,634.51,1148.18,1144.92,1147.34,1147.6,1140.14,1147.51,1145.0,1160.59
S003,16.26,18.35,0.0,14.19,18.5,15.77,23.4,615.88,618.19,622.26,620.39,621.13,1134.8,1131.54,1133.96,1134.22,1126.77,1134.13,1131.62,1147.21
S004,23.22,21.5,13.03,0.0,18.58,13.25,17.65,622.1,624.41,628.48,626.61,627.35,1141.02,1137.76,1140.18,1140.44,1132.98,1140.34,1137.84,1153.43
S005,13.3,33.07,17.38,16.58,0.0,12.97,15.86,618.01,620.32,624.39,622.52,623.26,1136.93,1133.67,1136.09,1136.34,1128.89,1136.25,1133.74,1149.34
S006,19.82,30.88,16.09,13.77,14.05,0.0,18.6,618.1,620.41,624.48,622.61,623.35,1137.02,1133.76,1136.18,1136.44,1128.98,1136.34,1133.84,1149.43
S007,27.79,37.56,23.91,18.33,15.99,19.84,0.0,627.46,629.77,633.84,631.97,632.71,1146.38,1143.12,1145.54,1145.79,1138.34,1145.7,1143.19,1158.79
S008,622.76,641.51,627.34,635.27,630.24,631.38,637.6,0.0,9.37,7.99,6.12,6.86,647.93,644.68,647.09,647.35,639.9,647.26,643.74,660.35
S009,625.45,644.2,630.03,637.96,632.93,634.07,640.29,9.93,0.0,11.3,9.43,10.18,656.22,652.97,655.38,655.64,648.19,655.55,652.03,668.64
S010,629.34,648.09,633.92,641.85,636.82,637.96,644.18,8.14,10.46,0.0,4.69,3.8,654.51,651.26,653.67,653.93,646.48,653.84,650.32,666.93
S011,627.64,646.39,632.22,640.14,635.12,636.26,642.47,6.43,8.75,4.87,0.0,3.74,652.81,649.55,651.97,652.23,644.78,652.14,648.62,665.22
S012,628.13,646.88,632.71,640.64,635.61,636.75,642.97,6.92,9.25,3.87,3.48,0.0,653.3,650.05,652.46,652.72,645.27,652.63,649.11,665.72
S013,1132.71,1151.46,1137.29,1145.21,1140.19,1141.33,1147.54,646.09,653.79,652.48,650.6,651.34,0.0,8.66,4.84,21.53,17.14,17.77,18.86,23.96
S014,1130.37,1149.12,1134.95,1142.87,1137.85,1138.99,1145.2,643.75,651.45,650.14,648.26,649.0,9.4,0.0,8.56,15.19,13.96,11.44,19.91,16.51
S015,1133.2,1151.95,1137.79,1145.71,1140.68,1141.82,1148.04,646.59,654.28,652.97,651.1,651.84,4.88,8.93,0.0,22.02,17.63,18.27,17.87,22.64
S016,1133.38,1152.14,1137.97,1145.89,1140.86,1142.0,1148.22,646.77,654.47,653.15,651.28,652.02,21.74,15.39,20.9,0.0,16.96,4.27,28.2,29.85
S017,1123.45,1142.2,1128.04,1135.96,1130.93,1132.07,1138.29,636.84,644.54,643.22,641.35,642.09,15.45,12.2,14.62,17.08,0.0,16.99,12.34,27.87
S018,1133.53,1152.28,1138.12,1146.04,1141.01,1142.15,1148.37,646.92,654.62,653.3,651.43,652.17,18.12,11.77,17.28,4.31,17.11,0.0,27.5,26.77
S019,1130.58,1149.33,1135.16,1143.09,1138.06,1139.2,1145.42,643.29,650.99,649.67,647.8,648.54,17.66,20.63,17.85,29.0,15.98,27.52,0.0,35.93
S020,1144.55,1163.3,1149.13,1157.06,1152.03,1153.17,1159.38,657.94,665.63,664.32,662.44,663.19,22.25,15.92,21.18,28.6,28.5,25.74,34.09,0.0
