store_id,product_id,current_stock,last_updated
S001,P001,56,2026-12-31
S002,P001,506,2026-12-31
S003,P001,259,2026-12-31
S004,P001,125,2026-12-31
S005,P001,204,2026-12-31
S006,P001,274,2026-12-31
S007,P001,589,2026-12-31
S008,P001,145,2026-12-31
S009,P001,140,2026-12-31
S010,P001,34,2026-12-31
S011,P001,142,2026-12-31
S012,P001,113,2026-12-31
S013,P001,189,2026-12-31
S014,P001,477,2026-12-31
S015,P001,47,2026-12-31
S016,P001,640,2026-12-31
S017,P001,226,2026-12-31
S018,P001,127,2026-12-31
S019,P001,52,2026-12-31
S020,P001,156,2026-12-31
S001,P002,49,2026-12-31
S002,P002,136,2026-12-31
S003,P002,153,2026-12-31
S004,P002,376,2026-12-31
S005,P002,254,2026-12-31
S006,P002,270,2026-12-31
S007,P002,230,2026-12-31
S008,P002,281,2026-12-31
S009,P002,138,2026-12-31
S010,P002,122,2026-12-31
S011,P002,63,2026-12-31
S012,P002,83,2026-12-31
S013,P002,38,2026-12-31
S014,P002,159,2026-12-31
S015,P002,185,2026-12-31
S016,P002,45,2026-12-31
S017,P002,310,2026-12-31
S018,P002,85,2026-12-31
S019,P002,109,2026-12-31
S020,P002,262,2026-12-31
S001,P003,25,2026-12-31
S002,P003,31,2026-12-31
S003,P003,244,2026-12-31
S004,P003,454,2026-12-31
S005,P003,181,2026-12-31
S006,P003,269,2026-12-31
S007,P003,183,2026-12-31
S008,P003,538,2026-12-31
S009,P003,284,2026-12-31
S010,P003,193,2026-12-31
S011,P003,188,2026-12-31
S012,P003,209,2026-12-31
S013,P003,305,2026-12-31
S014,P003,220,2026-12-31
S015,P003,537,2026-12-31
S016,P003,485,2026-12-31
S017,P003,113,2026-12-31
S018,P003,42,2026-12-31
S019,P003,45,2026-12-31
S020,P003,226,2026-12-31
S001,P004,8,2026-12-31
S002,P004,15,2026-12-31
S003,P004,25,2026-12-31
S004,P004,12,2026-12-31
S005,P004,2,2026-12-31
S006,P004,21,2026-12-31
S007,P004,36,2026-12-31
S008,P004,21,2026-12-31
S009,P004,16,2026-12-31
S010,P004,14,2026-12-31
S011,P004,62,2026-12-31
S012,P004,14,2026-12-31
S013,P004,49,2026-12-31
S014,P004,6,2026-12-31
S015,P004,50,2026-12-31
S016,P004,21,2026-12-31
S017,P004,20,2026-12-31
S018,P004,22,2026-12-31
S019,P004,5,2026-12-31
S020,P004,5,2026-12-31
S001,P005,28,2026-12-31
S002,P005,177,2026-12-31
S003,P005,113,2026-12-31
S004,P005,218,2026-12-31
S005,P005,41,2026-12-31
S006,P005,33,2026-12-31
S007,P005,167,2026-12-31
S008,P005,118,2026-12-31
S009,P005,39,2026-12-31
S010,P005,150,2026-12-31
S011,P005,125,2026-12-31
S012,P005,158,2026-12-31
S013,P005,309,2026-12-31
S014,P005,177,2026-12-31
S015,P005,106,2026-12-31
S016,P005,515,2026-12-31
S017,P005,428,2026-12-31
S018,P005,155,2026-12-31
S019,P005,409,2026-12-31
S020,P005,408,2026-12-31
S001,P006,38,2026-12-31
S002,P006,114,2026-12-31
S003,P006,178,2026-12-31
S004,P006,265,2026-12-31
S005,P006,282,2026-12-31
S006,P006,130,2026-12-31
S007,P006,167,2026-12-31
S008,P006,90,2026-12-31
S009,P006,63,2026-12-31
S010,P006,194,2026-12-31
S011,P006,407,2026-12-31
S012,P006,184,2026-12-31
S013,P006,187,2026-12-31
S014,P006,151,2026-12-31
S015,P006,54,2026-12-31
S016,P006,92,2026-12-31
S017,P006,28,2026-12-31
S018,P006,129,2026-12-31
S019,P006,145,2026-12-31
S020,P006,303,2026-12-31
S001,P007,41,2026-12-31
S002,P007,30,2026-12-31
S003,P007,17,2026-12-31
S004,P007,41,2026-12-31
S005,P007,31,2026-12-31
S006,P007,77,2026-12-31
S007,P007,21,2026-12-31
S008,P007,38,2026-12-31
S009,P007,197,2026-12-31
S010,P007,60,2026-12-31
S011,P007,72,2026-12-31
S012,P007,114,2026-12-31
S013,P007,116,2026-12-31
S014,P007,201,2026-12-31
S015,P007,61,2026-12-31
S016,P007,209,2026-12-31
S017,P007,228,2026-12-31
S018,P007,68,2026-12-31
S019,P007,80,2026-12-31
S020,P007,56,2026-12-31
S001,P008,377,2026-12-31
S002,P008,99,2026-12-31
S003,P008,245,2026-12-31
S004,P008,177,2026-12-31
S005,P008,26,2026-12-31
S006,P008,74,2026-12-31
S007,P008,267,2026-12-31
S008,P008,163,2026-12-31
S009,P008,166,2026-12-31
S010,P008,175,2026-12-31
S011,P008,679,2026-12-31
S012,P008,105,2026-12-31
S013,P008,155,2026-12-31
S014,P008,204,2026-12-31
S015,P008,237,2026-12-31
S016,P008,146,2026-12-31
S017,P008,439,2026-12-31
S018,P008,36,2026-12-31
S019,P008,226,2026-12-31
S020,P008,331,2026-12-31
S001,P009,81,2026-12-31
S002,P009,190,2026-12-31
S003,P009,162,2026-12-31
S004,P009,237,2026-12-31
S005,P009,50,2026-12-31
S006,P009,132,2026-12-31
S007,P009,279,2026-12-31
S008,P009,80,2026-12-31
S009,P009,191,2026-12-31
S010,P009,229,2026-12-31
S011,P009,51,2026-12-31
S012,P009,327,2026-12-31
S013,P009,249,2026-12-31
S014,P009,495,2026-12-31
S015,P009,31,2026-12-31
S016,P009,153,2026-12-31
S017,P009,265,2026-12-31
S018,P009,230,2026-12-31
S019,P009,46,2026-12-31
S020,P009,426,2026-12-31
S001,P010,72,2026-12-31
S002,P010,137,2026-12-31
S003,P010,25,2026-12-31
S004,P010,25,2026-12-31
S005,P010,110,2026-12-31
S006,P010,68,2026-12-31
S007,P010,20,2026-12-31
S008,P010,109,2026-12-31
S009,P010,310,2026-12-31
S010,P010,260,2026-12-31
S011,P010,95,2026-12-31
S012,P010,169,2026-12-31
S013,P010,154,2026-12-31
S014,P010,115,2026-12-31
S015,P010,40,2026-12-31
S016,P010,249,2026-12-31
S017,P010,91,2026-12-31
S018,P010,196,2026-12-31
S019,P010,97,2026-12-31
S020,P010,102,2026-12-31
S001,P011,137,2026-12-31
S002,P011,132,2026-12-31
S003,P011,116,2026-12-31
S004,P011,120,2026-12-31
S005,P011,162,2026-12-31
S006,P011,208,2026-12-31
S007,P011,108,2026-12-31
S008,P011,13,2026-12-31
S009,P011,21,2026-12-31
S010,P011,12,2026-12-31
S011,P011,63,2026-12-31
S012,P011,98,2026-12-31
S013,P011,88,2026-12-31
S014,P011,212,2026-12-31
S015,P011,36,2026-12-31
S016,P011,71,2026-12-31
S017,P011,74,2026-12-31
S018,P011,68,2026-12-31
S019,P011,95,2026-12-31
S020,P011,141,2026-12-31
S001,P012,398,2026-12-31
S002,P012,298,2026-12-31
S003,P012,394,2026-12-31
S004,P012,814,2026-12-31
S005,P012,239,2026-12-31
S006,P012,138,2026-12-31
S007,P012,421,2026-12-31
S008,P012,466,2026-12-31
S009,P012,45,2026-12-31
S010,P012,347,2026-12-31
S011,P012,444,2026-12-31
