date,store_id,product_id,quantity_sold,revenue,cost_of_goods_sold
2026-01-01,S001,P001,17,15878000,13022000
2026-01-01,S001,P002,10,2880000,2150000
2026-01-01,S001,P003,12,7140000,5820000
2026-01-01,S001,P004,1,1255000,985000
2026-01-01,S001,P005,14,37002000,27314000
2026-01-01,S001,P006,7,6272000,5117000
2026-01-01,S001,P007,8,1744000,1392000
2026-01-01,S001,P008,9,9756000,6678000
2026-01-01,S001,P009,15,32310000,23730000
2026-01-01,S001,P010,1,321000,232000
2026-01-01,S001,P011,11,1716000,1320000
2026-01-01,S001,P012,27,3672000,2943000
2026-01-01,S001,P013,19,5035000,3971000
2026-01-01,S001,P014,7,1491000,1078000
2026-01-01,S001,P015,8,9864000,7928000
2026-01-01,S001,P016,20,15160000,10240000
2026-01-01,S001,P017,10,3960000,2930000
2026-01-01,S001,P018,5,4445000,3490000
2026-01-01,S001,P019,16,624000,464000
2026-01-01,S001,P020,8,4488000,3992000
2026-01-01,S001,P021,23,56718000,38778000
2026-01-01,S001,P022,9,8199000,5814000
2026-01-01,S001,P023,4,1076000,736000
2026-01-01,S001,P024,10,3010000,2360000
2026-01-01,S001,P025,8,14696000,11248000
2026-01-01,S001,P026,14,2492000,1932000
2026-01-01,S001,P027,13,8307000,6084000
2026-01-01,S001,P028,3,3015000,2271000
2026-01-01,S001,P029,16,13968000,10912000
2026-01-01,S001,P030,14,15386000,10472000
2026-01-01,S002,P001,14,13076000,10724000
2026-01-01,S002,P002,10,2880000,2150000
2026-01-01,S002,P003,17,10115000,8245000
2026-01-01,S002,P004,0,0,0
2026-01-01,S002,P005,18,47574000,35118000
2026-01-01,S002,P006,10,8960000,7310000
2026-01-01,S002,P007,6,1308000,1044000
2026-01-01,S002,P008,10,10840000,7420000
2026-01-01,S002,P009,13,28002000,20566000
2026-01-01,S002,P010,5,1605000,1160000
2026-01-01,S002,P011,10,1560000,1200000
2026-01-01,S002,P012,25,3400000,2725000
2026-01-01,S002,P013,20,5300000,4180000
2026-01-01,S002,P014,16,3408000,2464000
2026-01-01,S002,P015,8,9864000,7928000
2026-01-01,S002,P016,15,11370000,7680000
2026-01-01,S002,P017,17,6732000,4981000
2026-01-01,S002,P018,11,9779000,7678000
2026-01-01,S002,P019,23,897000,667000
2026-01-01,S002,P020,6,3366000,2994000
2026-01-01,S002,P021,28,69048000,47208000
2026-01-01,S002,P022,3,2733000,1938000
2026-01-01,S002,P023,11,2959000,2024000
2026-01-01,S002,P024,18,5418000,4248000
2026-01-01,S002,P025,9,16533000,12654000
2026-01-01,S002,P026,14,2492000,1932000
2026-01-01,S002,P027,14,8946000,6552000
2026-01-01,S002,P028,3,3015000,2271000
2026-01-01,S002,P029,26,22698000,17732000
2026-01-01,S002,P030,15,16485000,11220000
2026-01-01,S003,P001,18,16812000,13788000
2026-01-01,S003,P002,16,4608000,3440000
2026-01-01,S003,P003,17,10115000,8245000
2026-01-01,S003,P004,1,1255000,985000
2026-01-01,S003,P005,15,39645000,29265000
2026-01-01,S003,P006,17,15232000,12427000
2026-01-01,S003,P007,4,872000,696000
2026-01-01,S003,P008,7,7588000,5194000
2026-01-01,S003,P009,12,25848000,18984000
2026-01-01,S003,P010,9,2889000,2088000
2026-01-01,S003,P011,7,1092000,840000
2026-01-01,S003,P012,30,4080000,3270000
2026-01-01,S003,P013,16,4240000,3344000
2026-01-01,S003,P014,13,2769000,2002000
2026-01-01,S003,P015,9,11097000,8919000
2026-01-01,S003,P016,22,16676000,11264000
2026-01-01,S003,P017,12,4752000,3516000
2026-01-01,S003,P018,13,11557000,9074000
2026-01-01,S003,P019,18,702000,522000
2026-01-01,S003,P020,4,2244000,1996000
2026-01-01,S003,P021,26,64116000,43836000
2026-01-01,S003,P022,8,7288000,5168000
2026-01-01,S003,P023,2,538000,368000
2026-01-01,S003,P024,18,5418000,4248000
2026-01-01,S003,P025,8,14696000,11248000
2026-01-01,S003,P026,8,1424000,1104000
2026-01-01,S003,P027,19,12141000,8892000
2026-01-01,S003,P028,6,6030000,4542000
2026-01-01,S003,P029,15,13095000,10230000
2026-01-01,S003,P030,14,15386000,10472000
2026-01-01,S004,P001,10,9340000,7660000
2026-01-01,S004,P002,13,3744000,2795000
2026-01-01,S004,P003,17,10115000,8245000
2026-01-01,S004,P004,0,0,0
2026-01-01,S004,P005,19,50217000,37069000
2026-01-01,S004,P006,6,5376000,4386000
2026-01-01,S004,P007,9,1962000,1566000
2026-01-01,S004,P008,17,18428000,12614000
2026-01-01,S004,P009,13,28002000,20566000
2026-01-01,S004,P010,3,963000,696000
2026-01-01,S004,P011,10,1560000,1200000
2026-01-01,S004,P012,15,2040000,1635000
2026-01-01,S004,P013,25,6625000,5225000
2026-01-01,S004,P014,18,3834000,2772000
2026-01-01,S004,P015,4,4932000,3964000
2026-01-01,S004,P016,24,18192000,12288000
2026-01-01,S004,P017,10,3960000,2930000
2026-01-01,S004,P018,12,10668000,8376000
2026-01-01,S004,P019,15,585000,435000
2026-01-01,S004,P020,14,7854000,6986000
2026-01-01,S004,P021,22,54252000,37092000
2026-01-01,S004,P022,9,8199000,5814000
2026-01-01,S004,P023,9,2421000,1656000
2026-01-01,S004,P024,18,5418000,4248000
2026-01-01,S004,P025,15,27555000,21090000
2026-01-01,S004,P026,13,2314000,1794000
2026-01-01,S004,P027,10,6390000,4680000
2026-01-01,S004,P028,2,2010000,1514000
2026-01-01,S004,P029,20,17460000,13640000
2026-01-01,S004,P030,19,20881000,14212000
2026-01-01,S005,P001,22,20548000,16852000
2026-01-01,S005,P002,10,2880000,2150000
2026-01-01,S005,P003,10,5950000,4850000
