store_id,store_name,city,latitude,longitude
S001,City Mart - Long Bien,Hanoi,20.935471,105.830557
S002,AIO Mart - Tay Ho,Hanoi,21.093392,105.88397
S003,Green Basket - My Dinh,Hanoi,21.027174,105.850546
S004,AIO Mart - Thanh Xuan,Hanoi,21.065179,105.789676
S005,Central Market - Ba Dinh,Hanoi,20.967762,105.75558
S006,Lotus Market - Cau Giay,Hanoi,21.005163,105.786182
S007,Lotus Market - Dong Da,Hanoi,21.032636,105.702568
S008,Urban Retail - Lien Chieu,Da Nang,16.029999,108.220942
S009,City Mart - Hoa Vang,Da Nang,16.079746,108.260671
S010,Fresh Hub - Son Tra,Da Nang,16.03451,108.294682
S011,Fresh Hub - Ngu Hanh Son,Da Nang,16.043276,108.290045
S012,Central Market - Thanh Khe,Da Nang,16.031934,108.269599
S013,Family Store - Binh Thanh,Ho Chi Minh City,10.809697,106.724301
S014,AIO Mart - Thu Duc,Ho Chi Minh City,10.784039,106.698966
S015,Green Basket - District 3,Ho Chi Minh City,10.793994,106.735128
S016,Fresh Hub - Nha Be,Ho Chi Minh City,10.783254,106.60036
S017,Central Market - Phu Nhuan,Ho Chi Minh City,10.858806,106.703877
S018,Fresh Hub - District 1,Ho Chi Minh City,10.799991,106.618689
S019,Green Basket - Tan Binh,Ho Chi Minh City,10.880941,106.797947
S020,Green Basket - District 2,Ho Chi Minh City,10.771646,106.746013
