store_id,S001,S002,S003,S004,S005,S006,S007,S008,S009,S010,S011,S012,S013,S014,S015,S016,S017,S018,S019,S020
S001,0.0,2636.2,1184.7,1986.8,1079.4,1319.9,2181.7,76347.1,76385.2,76989.5,76799.6,76865.9,148656.8,148458.9,148580.1,148257.5,147893.6,148206.6,147820.3,149357.0
S002,2624.9,0.0,1374.7,1842.5,2941.7,2242.3,3512.0,78629.5,78667.6,79271.9,79081.9,79148.3,150939.2,150741.3,150862.5,150539.9,150176.0,150489.0,150102.7,151639.4
S003,1261.3,1427.9,0.0,1042.9,1379.3,969.0,2041.3,77265.9,77304.1,77908.4,77718.4,77784.8,149575.7,149377.7,149499.0,149176.3,148812.5,149125.5,148739.2,150275.9
S004,1994.5,1707.0,994.4,0.0,1577.7,828.9,1627.2,77966.6,78004.7,78609.0,78419.0,78485.4,150276.3,150078.4,150199.6,149877.0,149513.1,149826.1,149439.8,150976.5
S005,1148.3,2711.4,1352.5,1377.6,0.0,861.0,1242.0,77426.9,77465.1,78069.4,77879.4,77945.8,149736.7,149538.8,149660.0,149337.4,148973.5,149286.5,148900.2,150436.9
S006,1336.2,2349.7,961.9,865.6,931.8,0.0,1466.6,77321.1,77359.2,77963.5,77773.6,77839.9,149630.8,149432.9,149554.1,149231.5,148867.6,149180.6,148794.3,150331.0
S007,2282.7,3536.0,2057.6,1647.0,1275.3,1417.7,0.0,78478.1,78516.3,79120.6,78930.6,78997.0,150787.9,150589.9,150711.2,150388.6,150024.7,150337.7,149951.4,151488.1
S008,76803.8,78985.7,77534.3,78362.0,80281.3,77752.4,81250.5,0.0,852.2,679.6,500.0,556.0,85845.5,85647.5,85768.8,85446.2,85082.3,85395.3,82912.7,86545.7
S009,76883.5,79065.5,77614.0,78441.7,80361.0,77832.2,81330.2,894.8,0.0,868.6,678.7,745.0,86707.0,86509.0,86630.2,86307.6,85943.8,86256.8,83774.2,87407.2
S010,77452.0,79634.0,78182.6,79010.3,80929.6,78400.7,81898.8,684.2,819.6,0.0,500.0,500.0,86493.8,86295.8,86417.0,86094.4,85730.6,86043.6,83561.0,87194.0
S011,77262.8,79444.8,77993.4,78821.1,80740.4,78211.5,81709.6,500.0,630.4,500.0,0.0,500.0,86304.6,86106.6,86227.8,85905.2,85541.4,85854.4,83371.8,87004.8
S012,77328.7,79510.7,78059.3,78887.0,80806.2,78277.4,81775.5,560.9,696.3,500.0,500.0,0.0,86370.5,86172.5,86293.7,85971.1,85607.2,85920.2,83437.7,87070.6
S013,148650.9,150832.9,149381.4,150209.1,152128.4,149599.6,153097.6,85632.6,86443.6,86275.0,86085.0,86151.4,0.0,651.9,500.0,1817.2,1670.6,1500.5,1545.6,1509.2
S014,148532.6,150714.6,149263.2,150090.9,152010.2,149481.3,152979.4,85514.3,86325.3,86156.7,85966.8,86033.1,713.3,0.0,636.5,1321.8,1144.0,1005.1,2021.4,945.6
S015,148648.9,150830.9,149379.4,150207.1,152126.4,149597.6,153095.6,85630.6,86441.6,86273.0,86083.0,86149.4,500.0,605.8,0.0,1815.2,1668.6,1498.5,1463.1,1401.3
S016,148336.8,150518.8,149067.3,149895.0,151814.3,149285.4,152783.5,85318.5,86129.5,85960.9,85770.9,85837.3,1851.8,1335.4,1775.1,0.0,1795.8,500.0,3015.8,2107.9
S017,147752.8,149934.8,148483.4,149311.1,151230.4,148701.5,152199.6,84734.5,85545.6,85377.0,85187.0,85253.4,1457.1,1259.2,1380.4,1822.7,0.0,1771.8,1237.9,2157.3
S018,148242.2,150424.2,148972.8,149800.5,151719.8,149190.9,152689.0,85223.9,86034.9,85866.4,85676.4,85742.8,1535.2,1018.8,1458.5,500.0,1701.3,0.0,2758.6,1880.1
S019,147866.7,150048.7,148597.2,149424.9,151344.2,148815.4,152313.4,82855.8,83666.8,83498.2,83308.3,83374.6,1589.6,1921.0,1510.4,3118.4,1614.8,2789.6,0.0,2778.2
S020,149402.7,151584.7,150133.2,150960.9,152880.2,150351.4,153849.4,86384.3,87195.4,87026.8,86836.8,86903.2,1471.6,984.3,1318.4,2114.7,2197.0,1910.6,2891.5,0.0
